"","src_subject_id","eventname","reshist_addr1_svi_tot_20142018"
"218","NDAR_INV0JCWR24P","baseline_year_1_arm_1",0.703
"219","NDAR_INV0JGVD4F3","baseline_year_1_arm_1",0.5302
"220","NDAR_INV0JR6Y529","baseline_year_1_arm_1",NA
"221","NDAR_INV0HFHMCFZ","baseline_year_1_arm_1",0.9312
"222","NDAR_INV0HH094Z9","baseline_year_1_arm_1",0.0742
"223","NDAR_INV0HJGCR32","baseline_year_1_arm_1",0.9854
"224","NDAR_INV0HL5D3DF","baseline_year_1_arm_1",0.5594
"225","NDAR_INV0JRNB4U4","baseline_year_1_arm_1",0.8661
"226","NDAR_INV0JRU5DWA","baseline_year_1_arm_1",0.5276
"227","NDAR_INV0K01TWJD","baseline_year_1_arm_1",0.7336
"228","NDAR_INV0K1RBPXM","baseline_year_1_arm_1",0.2636
"229","NDAR_INV0K37T6VD","baseline_year_1_arm_1",0.1239
"230","NDAR_INV0KHYZ082","baseline_year_1_arm_1",0.6988
"231","NDAR_INV0KPZW3NB","baseline_year_1_arm_1",0.1017
"232","NDAR_INV0KTEM27A","baseline_year_1_arm_1",0.153
"233","NDAR_INV0KYBPJ2A","baseline_year_1_arm_1",0.2914
"234","NDAR_INV0KYKANZ6","baseline_year_1_arm_1",0.8893
"235","NDAR_INV0KZBEH7F","baseline_year_1_arm_1",0.0705
"236","NDAR_INV0L1GB53L","baseline_year_1_arm_1",0.9432
"237","NDAR_INV0JVUB582","baseline_year_1_arm_1",0.8533
"238","NDAR_INV0JVY70JV","baseline_year_1_arm_1",0.8913
"239","NDAR_INV0JW2EU4V","baseline_year_1_arm_1",0.9959
"240","NDAR_INV0JWEE23L","baseline_year_1_arm_1",0.3133
"241","NDAR_INV0JWTGKAD","baseline_year_1_arm_1",NA
"242","NDAR_INV0JXBZBV9","baseline_year_1_arm_1",0.6239
"243","NDAR_INV0JYWL5T8","baseline_year_1_arm_1",0.8533
"244","NDAR_INV112R12P1","baseline_year_1_arm_1",0.0197
"245","NDAR_INV1147ELD2","baseline_year_1_arm_1",0.9857
"246","NDAR_INV0RKF6F11","baseline_year_1_arm_1",0.292
"247","NDAR_INV0RL1BGTN","baseline_year_1_arm_1",0.4793
"248","NDAR_INV0VL8XV09","baseline_year_1_arm_1",0.4389
"249","NDAR_INV0VVG7LYB","baseline_year_1_arm_1",NA
"250","NDAR_INV0YDL0DWV","baseline_year_1_arm_1",0.2331
"251","NDAR_INV0YE7L9KU","baseline_year_1_arm_1",0.3306
"252","NDAR_INV114VT9DX","baseline_year_1_arm_1",0.8287
"253","NDAR_INV1164KR5T","baseline_year_1_arm_1",0.4181
"254","NDAR_INV0T41MTFH","baseline_year_1_arm_1",0.3763
"255","NDAR_INV0T5DCF9K","baseline_year_1_arm_1",0.2197
"256","NDAR_INV0VY70352","baseline_year_1_arm_1",0.0272
"257","NDAR_INV0W00RU2X","baseline_year_1_arm_1",0.6723
"258","NDAR_INV0YGRZTUF","baseline_year_1_arm_1",0.8888
"259","NDAR_INV0YLE20YZ","baseline_year_1_arm_1",0.0619
"260","NDAR_INV119ECA10","baseline_year_1_arm_1",0.1286
"261","NDAR_INV11E1FCZ0","baseline_year_1_arm_1",0.2887
"262","NDAR_INV0T7889MV","baseline_year_1_arm_1",0.8673
"263","NDAR_INV0TEH16CM","baseline_year_1_arm_1",0.8845
"264","NDAR_INV0W0932W4","baseline_year_1_arm_1",0.7677
"265","NDAR_INV0W4PR2WT","baseline_year_1_arm_1",0.0159
"266","NDAR_INV0YLJKU2J","baseline_year_1_arm_1",0.7461
"267","NDAR_INV0YLLNXRL","baseline_year_1_arm_1",0.8905
"268","NDAR_INV11G4DZFX","baseline_year_1_arm_1",0.2964
"269","NDAR_INV11HZFWRM","baseline_year_1_arm_1",0.2162
"270","NDAR_INV0TJZ2RA3","baseline_year_1_arm_1",0.1791
"271","NDAR_INV0TRD5ZK4","baseline_year_1_arm_1",0.7228
"272","NDAR_INV0W4WA8RV","baseline_year_1_arm_1",0.7524
"273","NDAR_INV0WAF57A4","baseline_year_1_arm_1",0.0501
"274","NDAR_INV0YMH4BW6","baseline_year_1_arm_1",0.0789
"275","NDAR_INV0YVKYMJX","baseline_year_1_arm_1",NA
"276","NDAR_INV0YWBYAGP","baseline_year_1_arm_1",0.2957
"277","NDAR_INV1285PMCK","baseline_year_1_arm_1",0.0036
"278","NDAR_INV0TTJA443","baseline_year_1_arm_1",0.1174
"279","NDAR_INV0U0ZAG3B","baseline_year_1_arm_1",0.209
"280","NDAR_INV0U1JRFPK","baseline_year_1_arm_1",NA
"281","NDAR_INV0WC5U4JA","baseline_year_1_arm_1",0.7248
"282","NDAR_INV0WELU60J","baseline_year_1_arm_1",0.2298
"283","NDAR_INV0Z5FF0JL","baseline_year_1_arm_1",0.0591
"284","NDAR_INV0ZAYELPK","baseline_year_1_arm_1",0.9483
"285","NDAR_INV1306ZGW1","baseline_year_1_arm_1",0.3336
"286","NDAR_INV0U23M45G","baseline_year_1_arm_1",0.1537
"287","NDAR_INV0U317B9P","baseline_year_1_arm_1",0.0133
"288","NDAR_INV0WHFCZKU","baseline_year_1_arm_1",0.0279
"289","NDAR_INV0WTM31V7","baseline_year_1_arm_1",0.2914
"290","NDAR_INV0WXLR6V1","baseline_year_1_arm_1",NA
"291","NDAR_INV0ZHHWCMZ","baseline_year_1_arm_1",0.5516
"292","NDAR_INV0ZPPK2ML","baseline_year_1_arm_1",0.6395
"293","NDAR_INV11THDW9B","baseline_year_1_arm_1",0.3633
"294","NDAR_INV11UF2ABG","baseline_year_1_arm_1",0.3385
"295","NDAR_INV0U8DTCDG","baseline_year_1_arm_1",0.1543
"296","NDAR_INV0UA196B6","baseline_year_1_arm_1",0.0352
"297","NDAR_INV0WYCV590","baseline_year_1_arm_1",0.3696
"298","NDAR_INV0X02CUCY","baseline_year_1_arm_1",0.8365
"299","NDAR_INV0ZTJ2432","baseline_year_1_arm_1",0.9879
"300","NDAR_INV101HGWPC","baseline_year_1_arm_1",0.496
"301","NDAR_INV12F1NWCG","baseline_year_1_arm_1",0.9723
"302","NDAR_INV12NED96V","baseline_year_1_arm_1",0.1431
"303","NDAR_INV12WR8W3U","baseline_year_1_arm_1",0.3114
"304","NDAR_INV0UA1UW6C","baseline_year_1_arm_1",0.0515
"305","NDAR_INV0UD3BJFR","baseline_year_1_arm_1",0.1636
"306","NDAR_INV0X38WL5R","baseline_year_1_arm_1",NA
"307","NDAR_INV0X45NBYM","baseline_year_1_arm_1",0.8913
"308","NDAR_INV102P9DCN","baseline_year_1_arm_1",0.1069
"309","NDAR_INV107UCJ69","baseline_year_1_arm_1",0.5938
"310","NDAR_INV13276WYW","baseline_year_1_arm_1",0.1149
"311","NDAR_INV1378XGLA","baseline_year_1_arm_1",0.8612
"312","NDAR_INV0UEA3Z9E","baseline_year_1_arm_1",NA
"313","NDAR_INV0UERLJJY","baseline_year_1_arm_1",0.9952
